,gen,nevals,avg,min,max
558,558,354,0.7029599999999999,0.5,0.716
559,559,365,0.70808,0.5,0.716
560,560,367,0.7047200000000001,0.52,0.716
561,561,354,0.7058000000000001,0.5,0.716
562,562,353,0.7071200000000001,0.5,0.716
563,563,367,0.6980000000000001,0.5,0.716
564,564,359,0.7090000000000001,0.62,0.716
565,565,360,0.7038800000000001,0.5,0.716
566,566,358,0.7114,0.578,0.716
567,567,351,0.70608,0.522,0.716
568,568,359,0.71252,0.606,0.716
569,569,361,0.7026399999999999,0.5,0.716
570,570,375,0.7036800000000001,0.54,0.716
571,571,352,0.7047600000000002,0.5,0.716
572,572,363,0.7015200000000001,0.494,0.716
573,573,362,0.7093600000000001,0.612,0.716
574,574,361,0.7074000000000001,0.502,0.716
575,575,351,0.7088000000000001,0.514,0.716
576,576,363,0.7138000000000001,0.664,0.716
577,577,351,0.71336,0.61,0.716
578,578,371,0.7018800000000002,0.518,0.716
579,579,359,0.7063200000000001,0.512,0.716
580,580,366,0.70872,0.504,0.716
581,581,366,0.7063600000000001,0.5,0.716
582,582,366,0.70616,0.55,0.716
583,583,362,0.7025200000000001,0.5,0.716
584,584,362,0.7149200000000002,0.662,0.716
585,585,360,0.7138,0.61,0.716
586,586,356,0.6994800000000001,0.5,0.716
587,587,354,0.7112000000000002,0.5,0.716
588,588,358,0.7106000000000001,0.5,0.716
589,589,354,0.7111600000000001,0.6,0.716
590,590,365,0.7078399999999999,0.55,0.716
591,591,360,0.71548,0.702,0.716
592,592,363,0.7071200000000002,0.5,0.716
593,593,358,0.70732,0.5,0.716
594,594,335,0.7109200000000001,0.53,0.716
595,595,359,0.70892,0.572,0.716
596,596,366,0.70124,0.5,0.716
597,597,357,0.7137200000000001,0.602,0.716
598,598,357,0.7073600000000002,0.5,0.716
599,599,363,0.7025200000000001,0.566,0.716
600,600,361,0.7146399999999999,0.67,0.716
601,601,355,0.7062,0.5,0.716
602,602,371,0.7150400000000002,0.678,0.716
603,603,358,0.7063200000000001,0.536,0.716
604,604,351,0.71036,0.602,0.716
605,605,353,0.69364,0.488,0.716
606,606,371,0.6923199999999998,0.516,0.716
607,607,363,0.7070800000000002,0.546,0.716
608,608,357,0.7019200000000001,0.5,0.716
609,609,363,0.7005600000000001,0.5,0.716
610,610,351,0.71268,0.568,0.716
611,611,366,0.7102,0.506,0.716
612,612,351,0.7143999999999999,0.636,0.716
613,613,358,0.7098400000000001,0.634,0.716
614,614,353,0.7133200000000002,0.66,0.716
615,615,367,0.7096000000000001,0.622,0.716
616,616,340,0.70744,0.482,0.716
617,617,364,0.7100000000000002,0.5,0.716
618,618,355,0.7116800000000001,0.5,0.716
619,619,365,0.7079200000000001,0.556,0.716
620,620,353,0.7116800000000001,0.5,0.716
621,621,372,0.7079600000000003,0.536,0.716
622,622,352,0.7040400000000001,0.506,0.716
623,623,369,0.6996000000000001,0.5,0.716
624,624,364,0.6896800000000002,0.5,0.716
625,625,349,0.69816,0.534,0.716
626,626,358,0.71108,0.646,0.716
627,627,367,0.7157600000000001,0.706,0.716
628,628,366,0.7000800000000001,0.5,0.716
629,629,363,0.6995200000000001,0.5,0.716
630,630,355,0.6950399999999999,0.492,0.716
631,631,360,0.6877200000000001,0.5,0.716
632,632,369,0.6944400000000001,0.5,0.716
633,633,365,0.7026,0.536,0.716
634,634,354,0.7030000000000001,0.5,0.716
635,635,355,0.70788,0.5,0.716
636,636,360,0.71092,0.566,0.716
637,637,359,0.6950400000000001,0.5,0.716
638,638,358,0.6998000000000001,0.51,0.716
639,639,358,0.7033200000000001,0.552,0.716
640,640,352,0.71104,0.584,0.716
641,641,359,0.7160000000000001,0.716,0.716
642,642,353,0.71552,0.692,0.716
643,643,365,0.71416,0.63,0.716
